goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,basePeriod,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2000,value_2005,value_2010,value_2015,value_latest_year,latest_year,ObjectId
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,438,Liechtenstein,155,Western Europe,Country,LIE,1,9.552985019,47.14167005,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,6.9,6.9,6.9,6.9,6.9,2015,1
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,4,Afghanistan,34,Southern Asia,Country,AFG,1,66.02688198,33.83160199,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,1350,1350,1350,1350,1350,2015,2
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,440,Lithuania,154,Northern Europe,Country,LTU,1,23.90517807,55.33680309,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,2020,2121,2170,2180,2180,2015,3
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,8,Albania,39,Southern Europe,Country,ALB,1,20.06660928,41.13897007,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,769.3,782.4,776.3,771.5,771.5,2015,4
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,442,Luxembourg,155,Western Europe,Country,LUX,1,6.092656563,49.77679538,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,86.7,86.7,86.7,86.7,86.7,2015,5
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,10,Antarctica,1,World,Country,ATA,0,21.47585697,-80.40897662,,,,,,,,,,,,,,,,,,,6
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,446,"China, Macao Special Administrative Region",30,Eastern Asia,Country,MAC,0,113.5665388,22.1237259,,HA_TH,Thousands of hectares,,,G,Global,[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA,NA = A figure was not provided.,"FAO, Global Forest Resources Assessment",,N: Non-relevant,,,,,,2015,7
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,12,Algeria,15,Northern Africa,Country,DZA,1,2.678164227,28.15940032,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,1579,1536,1918,1956,1956,2015,8
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,450,Madagascar,14,Eastern Africa,Country,MDG,1,46.6982339,-19.38514785,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,13023,12838,12553,12473,12473,2015,9
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,16,American Samoa,61,Polynesia,Country,ASM,0,-170.7187269,-14.30587306,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,18.05,17.881,17.712,17.543,17.543,2015,10
